disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Ectopic Cushing syndrome,Round red and full face moon face,Slow growth rate in children,Weight gain with fat accumulation on trunk but fat loss from arms legs and buttocks central obesity,Skin changes that are often seen,Skin infections,Purple stretch marks 12 inch 1 centimeter or more wide called striae on skin of abdomen thighs upper arms and breasts,Thin skin with easy bruising,Muscle and bone changes include,Backache which occurs with routine activities,Bone pain or tenderness,Collection of fat between shoulders and above collar bone,Rib and spine fractures caused by thinning of bones,Weak muscles especially of hips and shoulders,Bodywide systemic problems may include,Type 2 diabetes mellitus,High blood pressure,High cholesterol and triglycerides,Excess hair growth on face neck chest abdomen and thighs,Periods that become irregular or stop,Decreased or no desire for sex,Impotence,Mental changes such as depression anxiety or changes in behavior,Fatigue,Headache,Increased thirst and urination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectopic heartbeat,Feeling your heartbeat palpitations,Feeling like your heart stopped or skippedbeat,Feeling of occasional forceful beats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectopic pregnancy,Abnormal vaginal bleeding,Mild cramping on one side of pelvis,No periods,Pain in lower belly or pelvic area,They may include,Fainting or feeling faint,Intense pressure in rectum,Low blood pressure,Pain in shoulder area,Severe sharp and sudden pain in lower abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectropion,Dry painful eyes,Excess tearing of eye epiphora,Eyelid turns outward downward,Longterm chronic conjunctivitis,Keratitis,Redness of lid and white part of eye,If you have ectropion you will most likely have excess tearing,This happens because eye gets dryn makes more tears,The excess tears cant get into tear drainage duct,Thereforey build up inside lower lid andn spill over edge of lid onto cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehlers-Danlos syndrome,Back pain,Doublejointedness,Easily damaged bruised and stretchy skin,Easy scarring and poor wound healing,Flat feet,Increased joint mobility joints popping early arthritis,Joint dislocation,Joint pain,Premature rupture of membranes during pregnancy,Very soft and velvety skin,Vision problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehrlichiosis,Fever and chills,Headache,Muscle aches,Nausea,Diarrhea,Fine pinheadsized areas of bleeding into skin petechial rash,Flat red rash maculopapular rash which is uncommon,General ill feeling malaise,A rash appears in fewer than one third of cases,Sometimes disease may be mistaken for,Rocky,Mountain spotted fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eisenmenger syndrome,Bluish lips fingers toes and skin cyanosis,Rounded fingernails and toenails clubbing,Numbness and tingling of fingers and toes,Chest pain,Coughing up blood,Dizziness,Fainting,Feeling tired,Shortness of breath,Skipped heartbeats palpitations,Stroke,Swelling in joints caused by too much uric acid gout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical injury,Type and strength of voltage,How long you were in contact with electricity,How electricity moved through your body,Your overall health,Changes in alertness consciousness,Broken bones,Heart attack chest arm neck jaw or back pain,Headache,Problems with swallowing vision or hearing,Irregular heartbeat,Muscle spasms and pain,Numbness or tingling,Breathing problems or lung failure,Seizures,Skin burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant ear poisoning,Diarrhea,Nausea and vomiting,Redness pain and burning of eyes,Severe burning in mouth and throat,Swelling of tongue mouth and eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis-van Creveld syndrome,Cleft lip or palate,Epispadias or undescended testicle cryptorchidism,Extra fingers polydactyly,Limited range of motion,Nail problems including missing or deformed nails,Short arms and legs especially forearm and lower leg,Short height between 35to 5 feet 1to 15 meters tall,Sparse absent or fine textured hair,Tooth abnormalities such as peg teeth widelyspaced teeth,Teeth present at birth natal teeth,Delayed or missing teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty sella syndrome,Erection problems,Headaches,Irregular or absent menstruation,Decreased orno desire for sex low libido,Fatigue low energy,Nipple discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empyema,Chest pain which worsens when you breathe in deeply pleurisy,Dry cough,Excessive sweating especially night sweats,Fever and chills,General discomfort uneasiness or ill feeling malaise,Shortness of breath,Weight loss unintentional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encephalitis,Fever that is not very high,Mild headache,Low energy andpoor appetite,Clumsiness unsteady gait,Confusion disorientation,Drowsiness,Irritability or poor temper control,Light sensitivity,Stiff neck and back sometimes,Vomiting,Body stiffness,Poor feeding,Soft spot on top of head may bulge out more,Vomiting,Loss of consciousness poor responsiveness stupor coma,Muscle weakness or paralysis,Seizures,Severe headache,Sudden change in mental functions such as flat mood impaired judgment memory loss orlack of interest in daily activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encopresis,Being unable to hold stool before getting totoilet bowel incontinence,Passing stool in inappropriate places as in childs clothes,Keeping bowel movementssecret,Having constipation and hard stools,Passingvery large stool sometimes that almost blocks toilet,Loss of appetite,Urine retention,Refusal on sit on toilet,Refusal to take medicines,Bloating sensation or pain in abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-stage kidney disease,General ill feeling and fatigue,Itching pruritus and dry skin,Headache,Weight loss without trying,Loss of appetite,Nausea,Abnormally dark or light skin,Nail changes,Bone pain,Drowsiness and confusion,Problems concentrating or thinking,Numbness in hands feet or other areas,Muscle twitching or cramps,Breath odor,Easy bruising nosebleeds or blood in stool,Excessive thirst,Frequent hiccups,Problems with sexual function,Menstrual periods stop amenorrhea,Sleep problems,Swelling of feet and hands edema,Vomiting often in morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocardial cushion defect,Baby tires easily,Bluish skin color also known as cyanosis lips may also be blue,Feeding difficulties,Failure to gain weight and grow,"Frequent pneumonia
or infections",Pale skin pallor,Rapid breathing,Rapid heartbeat,Sweating,Swollen legs or abdomen rare in children,Trouble breathing especially during feeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocarditis,Come and go or be more noticeable at nighttime,You may also have fatigue weakness and aches and pains in muscles or joints,Small areas of bleeding under nails splinter hemorrhages,Red painless skin spots on palms and soles,Red painful nodes in pads of fingers and toes,Osler nodes,Shortness of breath with activity,Swelling of feet legs abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocarditis - children,Come and go or be more noticeable at nighttime,Tiredness,Weakness,Joint pain,Muscle pain,Trouble breathing,Weight loss,Neurological problems such as seizures and disturbed mental status,Small bleeding areas under nails splinter hemorrhages,Red painless skin spots on palms and soles,Red painful nodes in pads of fingers and toes,Osler nodes,Shortness of breath,Swelling of feet legs abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometrial cancer,Abnormal bleeding from vagina including bleeding between periods or spottingbleeding after menopause,Extremely long heavy or frequent episodes of vaginal bleeding after age 40,Lower abdominal pain or pelvic cramping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometrial polyps,Menstrual bleeding that is not regular or predictable,Long or heavy menstrual bleeding,Bleeding between periods,Bleeding from vagina after menopause,Trouble getting or staying pregnant infertility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometriosis,Painful periods,Cramps or pain in your lower belly may beginweek or two before your period,Cramps may be steady and range from dull to severe,Pain during or after sexual intercourse,Pain with urination,Pain with bowel movements,Longterm pelvic or low back pain that may occur at any time and last for 6 months or more,Heavy menstrual bleeding or bleeding between periods,Infertility difficulty getting or staying pregnant,Some women withlot of tissue inir pelvis have no pain at all while some women with milder disease have severe pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometritis,Swelling of abdomen,Abnormal vaginal bleeding or discharge,Discomfort with bowel movement including constipation,Fever,General discomfort uneasiness or ill feeling,Pain in lower abdomen or pelvic region uterine pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endophthalmitis,Decreased vision,Pain,Redness,Swelling of eyelids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlarged adenoids,Bad breath,Cracked lips,Dry mouth,Persistent runny nose or nasal congestion,Enlarged adenoids may also cause sleep problems,child may be restless while sleeping,Snorelot,Have episodes of not breathing during sleep sleep apnea,Children with enlarged adenoids may also have more frequent ear infections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlarged prostate,Dribbling at end of urinating,Inability to urinate urinary retention,Incomplete emptying of your bladder,Incontinence,Needing to urinate 2 or more times per night,Pain with urination or bloody urinese may indicate infection,Slowed or delayed start of urinary stream,Straining to urinate,Strong and sudden urge to urinate,Weak urine stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enteritis,Abdominal pain,Diarrhea  acute and severe,Loss of appetite,Vomiting,Blood in stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entropion,Decreased vision if cornea is damaged,Excessive tearing,Eye discomfort or pain,Eye irritation,Redness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eosinophilic esophagitis,Problems feeding or eating,Abdominal pain,Vomiting,Problems swallowing,Food getting stuck in esophagus,Poor weight gain or weight loss poor growth and malnutrition,Food getting stuck when swallowing,Chest pain,Heartburn,Upper abdominal pain,Backflow of undigested food regurgitation,Reflux that does not get better with medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eosinophilic fasciitis,Tenderness and swelling of skin on arms legs or sometimes joints most often on both sides of body,Arthritis,Carpal tunnel syndrome,Muscle pain,Thickened skin that looks puckered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidermoid cyst,Skin redness,Tender or sore skin,Warm skin in affected area,Grayishwhite cheesy foulsmelling material that drains from cyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidermolysis bullosa,Alopecia hair loss,Blisters around eyes and nose,Blisters in or around mouth and throat causing feeding problems or swallowing difficulty,Blisters on skin asresult of minor injury or temperature change especially of feet,Blistering that is present at birth,Dental problems such as tooth decay,Hoarse cry cough or other breathing problems,Tiny white bumps on previously injured skin,Nail loss or deformed nails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epididymitis,Low fever,Chills,Feeling of heaviness in testicle area,The testicle area will get more sensitive to pressure,It will become painful as condition progresses,An infection in epididymis can easily spread to testicle,Blood in semen,Discharge from urethra opening at end of penis,Discomfort in lower abdomen or pelvis,Lump near testicle,Pain during ejaculation,Pain or burning during urination,Painful scrotal swelling epididymis is enlarged,Tender swollen and painful groin area on affected side,Testicle pain that gets worse duringbowel movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidural abscess,Bowel or bladder incontinence,Difficulty urinating urinary retention,Fever and back pain,Fever,Headache,Lethargy,Nausea and vomiting,Pain at site of recent surgery that gets worse especially if fever is present,Decreased ability to move any part of body,Loss of sensation in any area of body or abnormal changes in sensation,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidural hematoma,Confusion,Dizziness,Drowsiness or altered level of alertness,Enlarged pupil in one eye,Headache severe,Head injury or trauma followed by loss of consciousnessperiod of alertnessn rapid deterioration back to unconsciousness,Nausea or vomiting,Weakness in part of body usually on opposite side from side with enlarged pupil,Sometimes bleeding does not start for hours afterhead injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epiglottitis,Abnormal breathing sounds stridor,Fever,Blue skin color cyanosis,Drooling,Difficulty breathing person may need to sit upright and lean slightly forward to breathe,Difficulty swallowing,Voice changes hoarseness,The airways can become totally blocked which can result in cardiac arrest and death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy - overview,Absence petit mal seizure staring spells,Generalized tonicclonic grand mal seizure involves entire body including aura rigid muscles and loss of alertness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy in children,Absence petit mal seizure,Staring spells,Generalized tonicclonic grand mal seizure,Involves entire body including aura rigid muscles and loss of alertness,Partial focal seizure,Most of time seizure is similar to one before it,Some children havestrange sensation beforeseizure,Sensations may be tingling smellingodor that is not actuallyre feeling fear or anxiety for no reason or havingsense of dj vu feeling that something has happened before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episcleritis,A pink or purple color to normally white part of eye,Eye pain,Eye tenderness,Sensitivity to light,Tearing of eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epispadias,Males will haveshort wide penis withabnormal curve,The urethra most often opens on top or side of penis instead of tip,However urethra may be open along whole length of penis,Females haveabnormal clitoris and labia,The urethral opening is often between clitoris and labia but it may be in belly area,They may have trouble controlling urination urinary incontinence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epstein pearls,They sometimes look like emerging teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erection problems,Trouble gettingerection,Trouble keepingerection,Havingerection that is not firm enough for intercourse,Less interest in sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eruptive xanthomatosis,Peasized,Waxy,Firm,While harmless bumps may be itchy and tender,They tend to appear on buttocks shoulders arms thighs legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysipelas,Fever and chills,Skin sore withsharp raised border,As infection spreads skin is painful very red swollen and warm,Blisters on skinn form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysipeloid,Bright red skin in infected area,Swelling of area,Throbbing pain with itching or burning sensation,Fluidfilled blisters,Low fever if infection spreads,Swollen lymph nodes sometimes,The infection may spread to other fingers,It usually doesnt spread past wrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema multiforme,Lowgrade fever,Headache,Sore throat,Cough,Runny nose,General ill feeling,Itchy skin,Joint aches,Manyskin lesions sores or abnormal areas,Skin sores may start quickly come back spread,Look like hives,Havecentral sore surrounded by pale red rings also calledtarget iris or bullseye,Have liquidfilled bumps or blisters of various sizes,Be located on upper body legs arms palms hands or feet,Include face or lips,Appear evenly on both sides of body symmetrical,Bloodshot eyes,Dry eyes,Eye burning itching and discharge,Eye pain,Mouth sores,Vision problems,Minor usually involves skin and sometimes mouth sores,Major often starts withfever and joint aches,Besides skin sores and mouth soresre may be sores in eyes genitals lung airways or gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema nodosum,Fever,General ill feeling malaise,Joint aches,Skin redness inflammation or irritation,Swelling of leg or other affected area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
